number,street,unit,census_status,street_residential_signal
2582,SILVER OAK DR,,Match,0/1
2606,SILVER OAK DR,,Match,0/1
2859,CITIZENS PL,B,Match,0/1
5809,HALLRIDGE CIR,,Match,0/0
3219,ELIM MANOR CT,,Match,0/1
1783,CHANNINGWAY CT W,,Match,0/0
1779,CHANNINGWAY CT W,,Match,0/0
2268,PETZINGER CT,,Match,0/0
5083,CEDAR DR,L,Match,15/24
1757,CHANNINGWAY CT W,,Match,0/0
2221,MUIRWOOD DR,,Match,0/1
2529,FRANKSWAY ST,,Match,0/1
2307,MUIRWOOD DR,,Match,0/1
2205,SEVILLE AVE,,Match,0/1
2194,SEVILLE AVE,,Match,0/1
5720,HIBERNIA DR,,Match,0/1
5202,CEDAR DR,B,Match,15/24
636,CHANTRY DR,,No_Match,0/16
5637,HIBERNIA DR,B,Match,0/1
5788,HALLRIDGE CIR,,Match,0/0
608,CHANTRY DR,,No_Match,0/16
22,LITTLE BROOK WAY,,No_Match,30/31
5480,CHATFORD SQ,,Match,0/1
2778,TENNYSON BLVD,D,Match,0/0
2472,FOREST GREEN CT,,Match,0/0
3656,RIVERDALE SQ,,Match,0/0
2847,CITIZENS PL,G,Match,0/1
5570,AUTUMN CHASE DR,A,Match,0/1
5079,CEDAR DR,F,Match,15/24
1954,OLDE COVENTRY RD E,,Match,0/0
5453,LONSDALE PL N,UNIT C,Match,0/0
5350,YORKSHIRE VILLAGE LN,,Match,0/0
6405,MCNAUGHTEN CT,,No_Match,0/1
2865,CITIZENS PL,G,Match,0/1
1548,BANDERA CT,,Match,0/0
4483,REFUGEE RD,,Match,119/267
388,CHANTRY DR,,No_Match,0/16
2447,SHORE BLVD E,E,Match,0/0
5712,HIBERNIA DR,B,Match,0/1
3753,EMRICK CT,,Match,0/0
2510,KIMBERLY PKWY E,202,Match,0/0
5362,YORKSHIRE VILLAGE LN,,Match,0/0
2371,SHORE BLVD E,A,Match,0/0
2091,LAKE CLUB TER,I,Match,0/0
2779,CITIZENS PL,C,Match,0/1
3994,KIMBERLY PKWY N,,Match,0/0
6753,MCNAUGHTEN CT,,No_Match,0/1
2510,KIMBERLY PKWY E,UNIT 109,Match,0/0
2090,S HAMILTON RD,,Match,242/753
5632,HIBERNIA DR,A,Match,0/1
5758,HIBERNIA DR,B,Match,0/1
3848,MAUMEE BAY WAY,,Match,0/0
3186,WEBSTER DR,,Match,0/0
5682,GREENPINE ST,,Match,0/0
2870,WOOLWICH CT,114,Match,0/0
2451,SHORE BLVD E,D,Match,0/0
5940,SHANA DR,,Match,0/1
5880,YORKLAND CT,UNIT O,Match,0/1
3332,TRADAN DR,,Match,0/1
3837,BUCKMAN ST,,Match,0/0
5410,YORKSHIRE TERRACE DR,F,Match,0/0
2475,SHORE BLVD E,,Match,0/0
3723,SOFT WIND DR,,Match,0/0
3790,SOFT WIND DR,,Match,0/0
3717,FRANCINE CT,,Match,0/0
5611,HIBERNIA DR,C,Match,0/1
2700,WINCHESTER PIKE,,Match,4/13
3749,BIRCHTREE LN,,Match,0/0
3541,ARIEL DR,,Match,0/0
5982,LAKE CLUB SQ,E,Match,0/1
1778,LONSDALE PL E,UNIT A,Match,0/0
5474,CHATFORD SQ,,Match,0/1
4636,CHANNING TER,,Match,0/0
5675,E LIVINGSTON AVE,,Match,406/920
3688,NOAM CT,,Match,0/0
2738,TENNYSON BLVD,,Match,0/0
486,LITTLE BROOK WAY,,No_Match,30/31
2139,PINE GROVE LN,,Match,0/1
4095,JENERA PL,,Match,0/0
3261,WINTER LANE PARK,,Tie,0/0
4667,REFUGEE RD,3C,Match,119/267
3229,WEBSTER DR,,Match,0/0
1917,OLDE COVENTRY RD E,,Match,0/0
2132,MUIRWOOD DR,,Match,0/1
5879,SHANA DR,,Match,0/1
2739,S HAMILTON RD,,Match,242/753
5596,HIBERNIA DR,B,Match,0/1
560,CHANTRY DR,,No_Match,0/16
2860,CITIZENS PL,F,Match,0/1
2795,BERWICK SQ,,Match,0/1
1817,CHANNINGWAY CT W,,Match,0/0
1754,LONSDALE PL E,UNIT A,Match,0/0
4567,MANDEVILLE CT,B,Match,0/0
2494,BENIE CT,,Match,0/0
2748,CITIZENS PL,A,Match,0/1
4632,CHANNING TER,B,Match,0/0
4632,CHANNING TER,C,Match,0/0
4261,EASTLAND SQUARE DR,,Match,0/1
2796,CITIZENS PL,E,Match,0/1
1567,CABORA LN,,Match,0/0
5167,CEDAR DR,F,Match,15/24
2485,SHORE BLVD E,,Match,0/0
4665,REFUGEE RD,3G,Match,119/267
6008,LAKE CLUB CT,,Match,0/1
6209,MCNAUGHTEN CT,,Match,0/1
4536,LAKE SIDE S,G,Match,0/0
6603,MCNAUGHTEN CT,,No_Match,0/1
5758,HIBERNIA DR,C,Match,0/1
5703,HIBERNIA DR,C,Match,0/1
5677,HIBERNIA DR,B,Match,0/1
1572,ALLENFORD CT,,Match,0/0
3369,WINTER LANE PARK,,Match,0/0
4123,ALVADA ST,,Match,0/0
2444,SHORE BLVD W,,Match,0/0
5384,YORKSHIRE TERRACE DR,D,Match,0/0
2995,FALCON BRIDGE RD,,Match,0/0
2280,PETZINGER CT,,Match,0/0
3642,RIVERDALE SQ,,Match,0/0
608,LITTLE BROOK WAY,,No_Match,30/31
4,LITTLE BROOK WAY,,No_Match,30/31
3717,KIMBERLY WEST DR,,Tie,0/0
4627,WORDSWORTH CT,,Match,0/0
5981,LAKE CLUB SQ,C,Match,0/1
6679,MCNAUGHTEN CT,,No_Match,0/1
340,CHANTRY DR,,No_Match,0/16
3720,BONNETT CT,,Match,0/0
5427,YORKSHIRE TERRACE DR,4,Match,0/0
2942,NATHANIEL BLVD,A,Match,0/0
2534,BENIE CT,,Match,0/0
5448,CHATFORD SQ,,Match,0/1
2219,SUNSHINE PL,,Match,0/1
2445,KIMBERLY PKWY N,,Tie,0/0
4076,KIMBERLY PKWY,,Match,0/1
5649,HIBERNIA DR,C,Match,0/1
5780,HIBERNIA DR,,Match,0/1
4104,PORSCHE CT,,Match,0/1
2172,MUIRWOOD DR,,Match,0/1
2198,SEVILLE AVE,,Match,0/1
2192,SEVILLE AVE,,Match,0/1
3291,WINTER LANE PARK,,Match,0/0
1759,LONSDALE PL E,,Match,0/0
5467,LONSDALE PL N,UNIT B,Match,0/0
1561,APPLETON CT,,Match,0/0
2746,EASTLAND MALL,,Match,0/1
2510,KIMBERLY PKWY E,210,Match,0/0
2510,KIMBERLY PKWY E,UNIT 102,Match,0/0
3210,WINTER LANE PARK,,Match,0/0
5542,DUNFIELD LN,2,Match,0/1
4320,REFUGEE RD,,Match,119/267
5609,CHATTERTON RD,,Match,0/12
4427,CROSSROADS CENTER,,Match,0/0
5824,HALLRIDGE CIR,,Match,0/0
4491,LAKE SIDE S,A,Match,0/0
2755,TENNYSON BLVD,D,Match,0/0
2731,TENNYSON BLVD,B,Match,0/0
4536,LAKE SIDE S,C,Match,0/0
5675,BAIRSFORD CIR N,4,Match,0/0
2592,SILVER OAK DR,,Match,0/1
1761,CHANNINGWAY CT W,,Match,0/0
440,LITTLE BROOK WAY,,No_Match,30/31
408,LITTLE BROOK WAY,,No_Match,30/31
296,LITTLE BROOK WAY,,No_Match,30/31
2481,SHORE BLVD E,J,Match,0/0
4577,LAKE SIDE S,,Match,0/0
4626,CHANNING TER,C,Match,0/0
412,LITTLE BROOK WAY,,No_Match,30/31
3159,WEBSTER DR,,Match,0/0
3074,ROTUNDA CT S,,Match,0/0
4755,HILTON CORPORATE DR,,Match,0/3
6563,MCNAUGHTEN CT,,No_Match,0/1
6611,MCNAUGHTEN CT,,No_Match,0/1
6413,MCNAUGHTEN CT,,No_Match,0/1
6519,MCNAUGHTEN CT,,No_Match,0/1
2791,BERWICK SQ,,Match,0/1
3239,WEBSTER DR,,Match,0/0
2087,LAKE CLUB TER,A,Match,0/0
6000,LAKE CLUB CT,C,Match,0/1
2815,GROSSE POINT,,Match,0/0
3180,ELIM MANOR CT,113,Match,0/1
3205,WABASH CT N,,Match,0/0
2764,BRANDY DR,104,Match,0/1
2185,FOXCROFT GREEN,,Match,0/0
2123,PINE GROVE LN,,Match,0/1
2083,PINE GROVE LN,,Match,0/1
1894,COVENTRY CT,C,Match,2/2
5046,COVENTRY CT N,B,Match,0/0
2151,RIVERDALE SQ W,,Match,0/0
5081,CEDAR DR,D,Match,15/24
5119,CEDAR DR,,Match,15/24
2340,RANDY CT,,Match,0/0
3747,KIMBERLY WEST DR,UNIT 3,Tie,0/0
2460,HUDSON BAY WAY,,Match,0/0
3714,KIDRON CT,,Match,0/0
3792,SOFT WIND DR,,Match,0/0
5591,HIBERNIA DR,C,Match,0/1
2653,SILVER OAK DR,,Match,0/1
4650,HILTON CORPORATE DR,203,Match,0/3
2491,SHORE BLVD E,D,Match,0/0
2089,LAKE CLUB TER,H,Match,0/0
3412,WINTER LANE PARK,,Match,0/0
2802,CITIZENS PL,E,Match,0/1
5878,YORKLAND CT,,Match,0/1
382,LITTLE BROOK WAY,,No_Match,30/31
5034,COVENTRY DR,,Match,0/0
5097,CEDAR DR,F,Match,15/24
6012,LAKE CLUB CT,,Match,0/1
2772,BRANDY DR,102,Match,0/1
4659,REFUGEE RD,1B,Match,119/267
5370,YORKSHIRE TERRACE DR,H,Match,0/0
6177,MCNAUGHTEN CT,,Match,0/1
5865,YORKLAND CT,UNIT,Match,0/1
2493,SHORE BLVD E,,Match,0/0
2708,EASTLAND MALL,,Match,0/1
5686,SPRUCE TREE DR,,Match,0/0
1238,IDLEWOOD DR,,No_Match,0/0
5525,CANTARA PL,6,Match,0/0
2202,S HAMILTON RD,,Match,242/753
20,LITTLE BROOK WAY,,No_Match,30/31
2453,HUDSON BAY WAY,,Match,0/0
3723,KIMBERLY PKWY N,,Match,0/0
3585,REFUGEE RD,,Match,119/267
5636,HIBERNIA DR,C,Match,0/1
2832,WYMAN CT,A,Match,0/0
4325,DONLYN CT,,Match,0/0
5490,DUNFIELD LN,4,Match,0/1
416,CHANTRY DR,,No_Match,0/16
6195,MCNAUGHTEN CT,,Match,0/1
5711,HIBERNIA DR,A,Match,0/1
5594,AUTUMN CHASE DR,B,Match,0/1
4585,MONMOUTH CT,A,Match,0/0
2231,COURTSIDE DR,E,Match,0/2
2801,MARWOOD CT,B,Match,0/1
2817,CITIZENS PL,E,Match,0/1
5685,E LIVINGSTON AVE,,Match,406/920
6649,MCNAUGHTEN CT,,No_Match,0/1
3209,WEBSTER DR,,Match,0/0
3214,ST BERNARD CIR,,Match,0/0
4534,LAKE SIDE N,,Match,0/0
6671,MCNAUGHTEN CT,,No_Match,0/1
2206,SUNSHINE PL,,Match,0/1
378,LITTLE BROOK WAY,,No_Match,30/31
2178,MUIRWOOD DR,,Match,0/1
4621,REFUGEE RD,1C,Match,119/267
2547,SILVER OAK DR,,Match,0/1
268,CHANTRY DR,,No_Match,0/16
2146,MUIRWOOD DR,,Match,0/1
3721,BAY VILLAGE ST,,Match,12/41
2792,BERWICK SQ,,Match,0/1
5056,COVENTRY CT N,A,Match,0/0
2147,RIVERDALE SQ E,,Match,0/0
6283,MCNAUGHTEN CT,,Match,0/1
5415,YORKSHIRE TERRACE DR,3C,Match,0/0
4611,REFUGEE RD,3F,Match,119/267
2802,MARWOOD CT,D,Match,0/1
2447,SHORE BLVD E,F,Match,0/0
5685,HIBERNIA DR,B,Match,0/1
6003,LAKE CLUB CT,F,Match,0/1
2137,PINE GROVE LN,,Match,0/1
4551,LAKE SIDE S,C,Match,0/0
3717,KIMBERLY WEST DR,UNIT 5,Tie,0/0
4258,S HAMILTON RD,,No_Match,242/753
4599,MONMOUTH CT,206,Match,0/0
4543,LAKE SIDE S,,Match,0/0
2724,TENNYSON BLVD,B,Match,0/0
2089,LAKE CLUB TER,E,Match,0/0
576,LITTLE BROOK WAY,,No_Match,30/31
5427,YORKSHIRE TERRACE DR,1C,Match,0/0
2779,GROSSE POINT,,Match,0/0
2434,KIMBERLY WOODS DR,,Tie,0/1
42,CHANTRY DR,,No_Match,0/16
2881,TENNYSON BLVD,200,Match,0/0
4649,COLERIDGE CT,C,Match,0/0
5846,HALLRIDGE CIR,,Match,0/0
3807,BUCKMAN ST,,Match,0/0
4593,WORDSWORTH CT,,Match,0/0
5046,COVENTRY CT N,D,Match,0/0
4601,REFUGEE RD,3H,Match,119/267
2610,CHAPPEL CHASE,,Match,0/0
4003,PENNIMAN ST,,No_Match,0/1
5587,CHATTERTON RD,,Match,0/12
6185,MCNAUGHTEN CT,,Match,0/1
698,LITTLE BROOK WAY,,No_Match,30/31
4661,REFUGEE RD,3D,Match,119/267
2942,NATHANIEL BLVD,D,Match,0/0
4564,ISINGTON CT,206,Match,0/0
2176,SOFT WIND CT,,Match,0/0
1805,CHANNINGWAY CT W,,Match,0/0
4607,REFUGEE RD,1C,Match,119/267
3573,REFUGEE RD,,Match,119/267
5484,LONSDALE PL N,UNIT D,Match,0/0
3550,ARIEL DR,,Match,0/0
3742,NOAM CT,,Match,0/0
5617,AUTUMN CHASE DR,,Match,0/1
2860,WINCHESTER PIKE,,Match,4/13
6203,MCNAUGHTEN CT,,Match,0/1
5599,HIBERNIA DR,A,Match,0/1
3801,BUCKMAN ST,,Match,0/0
2794,TENNYSON BLVD,A,Match,0/0
5467,E LIVINGSTON AVE,UNIT A,Match,406/920
3340,TRADAN DR,,Match,0/1
5740,HALLRIDGE CIR,,Match,0/0
1619,COPPERTREE RD,,Match,2/2
76,LITTLE BROOK WAY,,No_Match,30/31
5704,HIBERNIA DR,C,Match,0/1
5580,HIBERNIA DR,A,Match,0/1
2439,SHORE BLVD E,,Match,0/0
1554,APPLETON CT,,Match,0/0
3390,WINTER LANE PARK,,Match,0/0
4795,ROLLINGBROOK LN,C,Tie,0/0
1911,OLDE COVENTRY RD E,,Match,0/0
2748,EASTLAND MALL,UNIT A,Match,0/1
3673,RIVERDALE SQ,,Match,0/0
5046,COVENTRY CT N,A,Match,0/0
2287,MUIRWOOD DR,,Match,0/1
5940,SCARBOROUGH BLVD,,Match,0/1
5427,YORKSHIRE TERRACE DR,4A,Match,0/0
4594,ISINGTON CT,205,Match,0/0
5097,CEDAR DR,A,Match,15/24
5165,CEDAR DR,G,Match,15/24
2843,CITIZENS PL,F,Match,0/1
126,CHANTRY DR,,No_Match,0/16
4267,DONLYN CT,,Match,0/0
5502,CHANTRY DR,,Match,0/16
2447,SHORE BLVD E,H,Match,0/0
6605,MCNAUGHTEN CT,,No_Match,0/1
282,LITTLE BROOK WAY,,No_Match,30/31
6619,MCNAUGHTEN CT,,No_Match,0/1
1946,OLDE COVENTRY RD E,,Match,0/0
2630,BIRCHTREE CT,,Match,0/0
6523,MCNAUGHTEN CT,,No_Match,0/1
3205,S HAMILTON RD,,Match,242/753
2371,SHORE BLVD E,F,Match,0/0
2852,CITIZENS PL,C,Match,0/1
3364,SUFFIELD,,Match,0/0
5577,HIBERNIA DR,C,Match,0/1
180,LITTLE BROOK WAY,,No_Match,30/31
5982,LAKE CLUB SQ,B,Match,0/1
2451,KIMBERLY PKWY N,,Tie,0/0
3763,KNIGHTSWAY LN,,Match,0/2
4986,COVENTRY CT S,,Match,0/0
4590,ISINGTON CT,,Match,0/0
3683,KIDRON CT,,Match,0/0
4269,EASTLAND SQUARE DR,,Match,0/1
2726,TENNYSON BLVD,B,Match,0/0
120,LITTLE BROOK WAY,,No_Match,30/31
5825,E LIVINGSTON AVE,,Match,406/920
4655,REFUGEE RD,3E,Match,119/267
5040,COVENTRY DR,A,Match,0/0
2796,CITIZENS PL,C,Match,0/1
1321,MCNAUGHTEN RD,,Match,80/137
3685,FARTHING LN,,Match,0/2
3192,EASTHAVEN DR S,,Match,0/0
2045,PINE NEEDLE CT,,Match,0/0
5005,COVENTRY CT N,,Match,0/0
6062,CHANNINGWAY BLVD,,Match,0/0
1844,COVENTRY LN,,Match,0/0
2145,RIVERDALE SQ E,,Match,0/0
3661,RIVERDALE SQ,,Match,0/0
3653,RIVERDALE SQ,,Match,0/0
2306,RANDY CT,,Match,0/0
3740,NOAM CT,,Match,0/0
3755,KIMBERLY WEST DR,UNIT 6,Tie,0/0
3663,MENDON PL,,Match,0/0
2461,HUDSON BAY WAY,,Match,0/0
2468,HUDSON BAY WAY,,Match,0/0
3900,RIVERCREEK BAY WAY,,Match,0/0
3972,SOLDIER ST,,Match,12/82
5364,YORKSHIRE VILLAGE LN,,Match,0/0
5568,HIBERNIA DR,C,Match,0/1
3970,LAUREL LN,,Match,2/2
2102,MUIRWOOD DR,,Match,0/1
4088,JENERA PL,,Match,0/0
5608,HIBERNIA DR,B,Match,0/1
5427,LONSDALE PL S,UNIT D,Match,0/0
2510,KIMBERLY PKWY E,101,Match,0/0
1762,LONSDALE PL E,UNIT B,Match,0/0
5489,E LIVINGSTON AVE,UNIT B,Match,406/920
4318,REFUGEE RD,,Match,119/267
3305,BRANFORD,,Match,0/0
1793,BAIRSFORD CIR W,,Match,0/0
2824,CITIZENS PL,B,Match,0/1
2774,CITIZENS PL,B,Match,0/1
2735,TENNYSON BLVD,C,Match,0/0
4599,REFUGEE RD,3C,Match,119/267
2564,PARK CRESCENT,,Match,0/0
5681,E LIVINGSTON AVE,,Match,406/920
5822,HALLRIDGE CIR,,Match,0/0
2750,TENNYSON BLVD,D,Match,0/0
4545,LAKE SIDE S,C,Match,0/0
2447,SHORE BLVD E,C,Match,0/0
2427,SHORE BLVD E,,Match,0/0
2407,SHORE BLVD E,,Match,0/0
4576,LAKE SIDE N,,Match,0/0
4617,REFUGEE RD,2D,Match,119/267
2881,TENNYSON BLVD,206,Match,0/0
2881,TENNYSON BLVD,103,Match,0/0
5637,CHANTRY DR,,Match,0/16
438,CHANTRY DR,,No_Match,0/16
308,CHANTRY DR,,No_Match,0/16
140,CHANTRY DR,,No_Match,0/16
4657,REFUGEE RD,2K,Match,119/267
4644,CHANNING TER,,Match,0/0
4635,HILTON CORPORATE DR,,Match,0/3
4650,HILTON CORPORATE DR,204,Match,0/3
1321,YORKLAND RD,UNIT,Match,23/34
1778,MCNAUGHTEN RD,,Match,80/137
3012,ROTUNDA CT S,,Match,0/0
2955,WINCHESTER PIKE,,Match,4/13
3167,WEBSTER DR,,Match,0/0
3042,ROTUNDA CT S,,Match,0/0
6421,MCNAUGHTEN CT,,No_Match,0/1
6461,MCNAUGHTEN CT,,No_Match,0/1
6625,MCNAUGHTEN CT,,No_Match,0/1
3225,ELIM MANOR CT,,Match,0/1
2772,BRANDY DR,201,Match,0/1
3464,COURTRIGHT LN,,Match,0/0
5357,YORKSHIRE TERRACE DR,B,Match,0/0
3537,ARIEL DR,,Match,0/0
3752,BIRCHTREE LN,,Match,0/0
5381,YORKSHIRE TERRACE DR,3B,Match,0/0
5415,YORKSHIRE TERRACE DR,3B,Match,0/0
5427,YORKSHIRE TERRACE DR,3C,Match,0/0
3691,KIDRON CT,,Match,0/0
3840,MAUMEE BAY WAY,,Match,0/0
5427,LONSDALE PL S,UNIT B,Match,0/0
5439,LONSDALE PL S,UNIT C,Match,0/0
5770,HIBERNIA DR,,Match,0/1
3946,LAUREL LN,,Match,2/2
3962,LAUREL LN,,Match,2/2
5502,DUNFIELD LN,6,Match,0/1
2213,MUIRWOOD DR,,Match,0/1
2154,MUIRWOOD DR,,Match,0/1
2208,MUIRWOOD DR,,Match,0/1
5516,DUNFIELD LN,6,Match,0/1
5536,DUNFIELD LN,1,Match,0/1
5540,CANTARA PL,,Match,0/0
5703,HIBERNIA DR,A,Match,0/1
5715,HIBERNIA DR,C,Match,0/1
2290,SEVILLE AVE,,Match,0/1
2230,SEVILLE AVE,,Match,0/1
2200,SEVILLE AVE,,Match,0/1
2510,KIMBERLY PKWY E,UNIT 210,Match,0/0
4202,EASTLAND SQUARE DR,,Match,0/1
4267,EASTLAND FOOD CT,,No_Match,0/0
5610,TINLEY PARK,,Match,0/0
2745,TENNYSON BLVD,B,Match,0/0
2442,SHORE BLVD W,,Match,0/0
2460,SHORE BLVD W,B,Match,0/0
2824,WYMAN CT,,Match,0/0
4619,REFUGEE RD,1D,Match,119/267
4580,LAKE SIDE N,D,Match,0/0
4628,CHANNING TER,A,Match,0/0
4641,COLERIDGE CT,,Match,0/0
2560 1/2,PARK CRESCENT,,Match,0/0
5840,HALLRIDGE CIR,D,Match,0/0
1251,STEVENLANE BLVD,,Match,0/24
612,CHANTRY DR,,No_Match,0/16
5853,YORKLAND CT,UNIT,Match,0/1
5863,YORKLAND CT,UNIT,Match,0/1
1770,CHANNINGWAY CT W,,Match,0/0
5676,GREENPINE ST,,Match,0/0
1281,MCNAUGHTEN RD,UNIT H,Match,80/137
5755,CHANTRY DR,,Match,0/16
5718,GREENPINE ST,,Match,0/0
6291,MCNAUGHTEN CT,,Match,0/1
2744,BRANDY DR,201,Match,0/1
6507,MCNAUGHTEN CT,,No_Match,0/1
6417,MCNAUGHTEN CT,,No_Match,0/1
6131,MCNAUGHTEN CT,,Match,0/1
6114,MCNAUGHTEN CENTER,,Match,0/0
2783,BERWICK SQ,,Match,0/1
3207,WEBSTER DR,,Match,0/0
3268,ELIM MANOR CT,,Match,0/1
1862,COVENTRY LN,A,Match,0/0
2898,TUPPENCE DR,,Match,0/0
3189,EASTHAVEN DR S,,Match,0/0
6009,LAKE CLUB SQ,,Match,0/1
5200,CEDAR DR,,Match,15/24
5265,E LIVINGSTON AVE,,Match,406/920
3262,ELIM MANOR CT,,Match,0/1
1289,YORKLAND RD,UNIT E,Match,23/34
5880,YORKLAND CT,,Match,0/1
5695,MAPLE TREE LN,,Match,0/0
3681,FARTHING LN,,Match,0/2
3180,ELIM MANOR CT,209,Match,0/1
2744,BRANDY DR,102,Match,0/1
2740,BRANDY DR,102,Match,0/1
5716,GREENPINE ST,,Match,0/0
6329,MCNAUGHTEN CT,,No_Match,0/1
6571,MCNAUGHTEN CT,,No_Match,0/1
2117,PINE GROVE LN,,Match,0/1
4975,COVENTRY CT S,,Match,0/0
4974,COVENTRY CT S,,Match,0/0
2116,PINE GROVE LN,,Match,0/1
4998,MYERS RD,,Match,0/8
5017,COVENTRY CT N,,Match,0/0
2058,PINE GROVE LN,,Match,0/1
5997,LAKE CLUB SQ,,Match,0/1
2150,RIVERDALE SQ E,,Match,0/0
5167,CEDAR DR,E,Match,15/24
3754,BIRCHTREE LN,,Match,0/0
2207,DURANT AVE,,Match,0/1
3856,MAUMEE BAY WAY,,Match,0/0
5200,CEDAR DR,E,Match,15/24
1627,COPPERTREE RD,,Match,2/2
5469,RED BIRD CT,,Match,0/1
3888,MAUMEE BAY WAY,,Match,0/0
5539,HIBERNIA DR,C,Match,0/1
5401,LONSDALE PL S,UNIT D,Match,0/0
5415,YORKSHIRE TERRACE DR,7A,Match,0/0
5629,HIBERNIA DR,,Match,0/1
2221,SUNSHINE PL,,Match,0/1
2198,SUNSHINE PL,,Match,0/1
2409,KIMBERLY PKWY N,,Tie,0/0
2413,KIMBERLY PKWY N,,Tie,0/0
2112,MUIRWOOD DR,,Match,0/1
3359,WINTER LANE PARK,,Match,0/0
5418,LONSDALE PL S,UNIT A,Match,0/0
2667,BRICE RD,,No_Match,177/386
1745,LONSDALE PL E,UNIT B,Match,0/0
3266,WINTER LANE PARK,,Match,0/0
5516,E LIVINGSTON AVE,,Match,406/920
5515,CANTARA PL,6,Match,0/0
3130,S HAMILTON RD,,Match,242/753
4404,CROSSROADS CENTER,,Match,0/0
5605,CHATTERTON RD,,Match,0/12
2851,CITIZENS PL,F,Match,0/1
2791,CITIZENS PL,H,Match,0/1
2834,WYMAN CT,D,Match,0/0
4540,LAKE SIDE N,B,Match,0/0
4599,REFUGEE RD,2B,Match,119/267
4581,MONMOUTH CT,,Match,0/0
4551,LAKE SIDE S,A,Match,0/0
4619,REFUGEE RD,2A,Match,119/267
4619,REFUGEE RD,1C,Match,119/267
4617,HEBRIDES DR,D,Match,0/0
2813,TENNYSON BLVD,211,Match,0/0
2810,TENNYSON BLVD,B,Match,0/0
2361,SHORE BLVD E,G,Match,0/0
4661,REFUGEE RD,2C,Match,119/267
2824,TENNYSON BLVD,D,Match,0/0
2962,NATHANIEL BLVD,A,Match,0/0
4630,HILTON CORPORATE DR,114,Match,0/3
4650,HILTON CORPORATE DR,211,Match,0/3
1295,STEVENLANE BLVD,,Match,0/24
5685,BAIRSFORD CIR N,1,Match,0/0
5675,BAIRSFORD CIR N,20,Match,0/0
194,CHANTRY DR,,No_Match,0/16
624,CHANTRY DR,,No_Match,0/16
158,CHANTRY DR,,No_Match,0/16
90,CHANTRY DR,,No_Match,0/16
2575,SILVER OAK DR,,Match,0/1
262,LITTLE BROOK WAY,,No_Match,30/31
648,LITTLE BROOK WAY,,No_Match,30/31
1798,CHANNINGWAY CT W,,Match,0/0
2319,HAMILTON RD,,Match,242/753
2843,CITIZENS PL,G,Match,0/1
5591,AUTUMN CHASE DR,A,Match,0/1
5565,HUTCHINSTONE RD,,Match,0/0
2810,CITIZENS PL,C,Match,0/1
2774,CITIZENS PL,H,Match,0/1
2748,CITIZENS PL,C,Match,0/1
2400,SHORE BLVD W,,Match,0/0
5560,CHANTRY DR,,Match,0/16
5820,HALLRIDGE CIR,,Match,0/0
5340,HALLRIDGE CIR,,No_Match,0/0
4595,REFUGEE RD,3D,Match,119/267
4593,REFUGEE RD,1E,Match,119/267
4564,MANDEVILLE CT,D,Match,0/0
2870,WOOLWICH CT,104,Match,0/0
4582,HEMINGWAY CT,D,Match,0/1
4583,MONMOUTH CT,,Match,0/0
4583,ISINGTON CT,A,Match,0/0
2789,NEWCASTLE CT,,Match,0/0
4595,REFUGEE RD,2B,Match,119/267
4585,LAKE SIDE S,J,Match,0/0
4580,LAKE SIDE N,B,Match,0/0
198,CHANTRY DR,,No_Match,0/16
402,CHANTRY DR,,No_Match,0/16
396,LITTLE BROOK WAY,,No_Match,30/31
466,LITTLE BROOK WAY,,No_Match,30/31
500,LITTLE BROOK WAY,,No_Match,30/31
406,LITTLE BROOK WAY,,No_Match,30/31
5854,MCKAHAN CT,,Match,0/14
4626,CHANNING TER,B,Match,0/0
4659,COLERIDGE CT,,Match,0/0
2942,NATHANIEL BLVD,C,Match,0/0
1285,YORKLAND RD,UNIT H,Match,23/34
5878,YORKLAND CT,UNIT L,Match,0/1
1524,ABRAHAM WOODS,,Match,0/0
3178,WEBSTER DR,,Match,0/0
6709,MCNAUGHTEN CT,,No_Match,0/1
6613,MCNAUGHTEN CT,,No_Match,0/1
2797,BERWICK SQ,,Match,0/1
2765,NOE-BIXBY RD,,No_Match,242/328
2780,GROSSE POINT,,Match,0/0
2782,GROSSE POINT,,Match,0/0
3171,WABASH CT S,,Match,0/0
4798,LARAINE CT,201,Match,0/0
1925,OLDE COVENTRY RD,,Match,0/0
6066,CHANNINGWAY BLVD,,Match,0/0
1921,OLDE COVENTRY RD E,,Match,0/0
5052,COVENTRY CT N,B,Match,0/0
5121,CEDAR DR,H,Match,15/24
5145,CEDAR DR,L,Match,15/24
5167,CEDAR DR,K,Match,15/24
2810,BANWICK RD,,Match,0/9
3649,RIVERDALE SQ,,Match,0/0
3660,RIVERDALE SQ,,Match,0/0
3729,BUCKMAN ST,,Match,0/0
3722,BIRCHTREE LN,,Match,0/0
2316,RANDY CT,,Match,0/0
3709,CHARBERT CT,,Match,0/0
3722,DAWN CT,,Match,0/0
2213,COURTSIDE DR,E,Match,0/2
2231,COURTSIDE DR,C,Match,0/2
3737,CHARBERT CT,,Match,0/0
5415,YORKSHIRE TERRACE DR,7B,Match,0/0
5572,HIBERNIA DR,A,Match,0/1
3681,KIDRON CT,,Match,0/0
5427,LONSDALE PL S,,Match,0/0
5430,LONSDALE PL S,UNIT B,Match,0/0
5665,HIBERNIA DR,B,Match,0/1
5645,HIBERNIA DR,A,Match,0/1
